open_time,open,high,low,close,volume,close_time,quote_asset_volume,nb_trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-01-11 20:45:00,17530.6,17530.73,17525.26,17528.02,190.58561,1673469959999.0,3340572.7894726,3384.0,99.64006,1746509.1562905,0.0
2023-01-11 20:46:00,17528.01,17533.08,17524.52,17529.25,131.6511,1673470019999.0,2307722.3880159,3191.0,70.96141,1243908.6662885,0.0
2023-01-11 20:47:00,17528.92,17535.0,17527.06,17529.31,136.71343,1673470079999.0,2396620.237222,2840.0,78.42198,1374760.3205883,0.0
2023-01-11 20:48:00,17529.53,17533.0,17528.26,17528.58,130.10384,1673470139999.0,2280867.8304143,2603.0,60.41718,1059216.0463723,0.0
2023-01-11 20:49:00,17529.0,17535.32,17528.5,17534.56,120.92813,1673470199999.0,2120177.2946266,2943.0,78.37365,1374095.2174215,0.0
2023-01-11 20:50:00,17533.91,17536.51,17529.73,17534.88,175.69092,1673470259999.0,3080426.8311494,3847.0,82.98767,1455081.2183966,0.0
2023-01-11 20:51:00,17534.88,17543.56,17533.79,17536.76,216.8038,1673470319999.0,3802514.8848086,4420.0,103.05129,1807412.6022338,0.0
2023-01-11 20:52:00,17536.58,17545.61,17533.76,17544.31,206.4259,1673470379999.0,3620884.5919704,3977.0,112.38893,1971439.4560791,0.0
2023-01-11 20:53:00,17544.33,17549.68,17541.58,17542.28,196.90647,1673470439999.0,3454867.1918078,3970.0,107.72837,1890198.9062592,0.0
2023-01-11 20:54:00,17542.28,17546.68,17538.04,17542.16,243.83427,1673470499999.0,4277273.9014609,4888.0,117.44821,2060285.9448882,0.0
2023-01-11 20:55:00,17542.93,17549.53,17542.17,17549.1,135.74412,1673470559999.0,2381917.1345373,3743.0,84.04802,1474814.3482497,0.0
2023-01-11 20:56:00,17549.1,17552.06,17539.08,17542.39,256.58132,1673470619999.0,4501902.5965826,5020.0,118.82457,2084886.785935,0.0
2023-01-11 20:57:00,17542.83,17546.32,17541.38,17544.99,139.29084,1673470679999.0,2443714.3508613,3093.0,69.88032,1225995.1135647,0.0
2023-01-11 20:58:00,17544.99,17548.52,17538.2,17539.02,180.3115,1673470739999.0,3163215.4388457,4313.0,78.97347,1385450.1966958,0.0
2023-01-11 20:59:00,17538.41,17558.93,17538.31,17550.57,310.08481,1673470799999.0,5442181.5541306,6022.0,160.63665,2819183.4947229,0.0
2023-01-11 21:00:00,17550.57,17566.93,17549.49,17562.08,430.39331,1673470859999.0,7557689.4182212,7261.0,223.16712,3918855.1954965,0.0
2023-01-11 21:01:00,17561.08,17571.38,17561.08,17565.77,264.92627,1673470919999.0,4653913.8348636,5219.0,142.35263,2500699.6933438,0.0
2023-01-11 21:02:00,17566.09,17566.56,17557.18,17557.54,243.37668,1673470979999.0,4273863.9633677,5032.0,100.61689,1766911.8577532,0.0
2023-01-11 21:03:00,17557.54,17562.43,17551.0,17554.85,259.26167,1673471039999.0,4551805.1690292,4390.0,109.48103,1922125.404008,0.0
2023-01-11 21:04:00,17554.1,17565.0,17551.95,17552.95,247.07243,1673471099999.0,4338088.59027,5232.0,117.6678,2065980.0835115,0.0
2023-01-11 21:05:00,17552.95,17563.38,17552.01,17561.57,169.68229,1673471159999.0,2979081.4538902,4377.0,95.11193,1669890.1247508,0.0
2023-01-11 21:06:00,17561.57,17563.3,17551.0,17554.11,204.56048,1673471219999.0,3591270.9862084,4321.0,80.37292,1411016.9234523,0.0
2023-01-11 21:07:00,17553.88,17556.27,17537.37,17541.25,291.39311,1673471279999.0,5112670.8338419,5341.0,116.71582,2047915.2529959,0.0
2023-01-11 21:08:00,17541.25,17544.53,17538.17,17542.28,145.64098,1673471339999.0,2554731.5478272,3404.0,74.8079,1312246.6344163,0.0
2023-01-11 21:09:00,17542.28,17547.95,17540.52,17543.19,189.52319,1673471399999.0,3325002.8556311,3252.0,111.95323,1964123.1786805,0.0
2023-01-11 21:10:00,17543.19,17546.65,17542.48,17545.78,130.50812,1673471459999.0,2289709.9780644,3296.0,61.32285,1075903.2265764,0.0
2023-01-11 21:11:00,17545.29,17548.64,17543.56,17547.82,78.98248,1673471519999.0,1385862.6426162,2395.0,42.38014,743636.0797105,0.0
2023-01-11 21:12:00,17547.51,17547.83,17540.99,17542.8,82.85989,1673471579999.0,1453636.9469137,2452.0,33.96812,595904.6625691,0.0
2023-01-11 21:13:00,17543.38,17543.38,17533.45,17537.64,199.01801,1673471639999.0,3490423.6325088,3984.0,64.06328,1123534.0158213,0.0
2023-01-11 21:14:00,17537.85,17540.84,17533.05,17538.92,156.92046,1673471699999.0,2751786.1242961,3608.0,73.29614,1285356.8591404,0.0
2023-01-11 21:15:00,17538.61,17544.9,17538.17,17541.2,162.25929,1673471759999.0,2846213.8712135,3220.0,95.11106,1668399.5750714,0.0
