timestamp;y;y_pred;mae;mape;new_mae;new_smape;moy_5m;std_5m;n_trades_sum_5m;delta_5m;moy_20m;std_20m;n_trades_sum_20m;delta_20m;moy_60m;std_60m;n_trades_sum_60m;delta_60m
1673371080000.0;1330.94;0.0;1330.94;0.0;1330.94;200.0;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;0.0;1330.94;0.0;1330.94;200.0;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;0.0;1330.94;0.0;1330.94;200.0;500.0;22.0;10000.0;1.0;500.0;22.0;10000.0;1.0;500.0;22.0;10000.0;1.0
1673371080000.0;1330.94;-199.24920784458163;1530.1892078445817;114.97056274847715;1430.5646039222909;200.0;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;1330.94;0.0;0.0;953.709735948194;133.33333333333334;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;1330.94;0.0;0.0;715.2823019611454;100.0;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;1330.94;0.0;0.0;572.2258415689164;80.0;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;1330.94;0.0;0.0;476.85486797409703;66.66666666666667;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;0.0;1330.94;0.0;1330.94;200.0;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;26.6188;1304.3212;98.0;1317.6306;196.07843137254903;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
